month,ptax,cdi_aa,us_aa
2019-12,4.03,0.0440,0.0159
2020-01,4.28,0.0415,0.0145
2020-02,4.49,0.0415,0.0097
2020-03,5.20,0.0365,0.0017
2020-04,5.44,0.0365,0.0016
2020-05,5.34,0.0290,0.0017
2020-06,5.48,0.0215,0.0016
2020-07,5.22,0.0215,0.0011
2020-08,5.47,0.0190,0.0012
2020-09,5.64,0.0190,0.0012
2020-10,5.77,0.0190,0.0013
2020-11,5.33,0.0190,0.0011
2020-12,5.20,0.0190,0.0010
2021-01,5.48,0.0190,0.0010
2021-02,5.60,0.0190,0.0008
2021-03,5.63,0.0265,0.0007
2021-04,5.40,0.0265,0.0006
2021-05,5.22,0.0340,0.0005
2021-06,4.97,0.0415,0.0007
2021-07,5.12,0.0415,0.0007
2021-08,5.14,0.0515,0.0007
2021-09,5.44,0.0615,0.0009
2021-10,5.64,0.0765,0.0015
2021-11,5.62,0.0765,0.0025
2021-12,5.58,0.0915,0.0039
2022-01,5.30,0.0915,0.0078
2022-02,5.15,0.1065,0.0101
2022-03,4.74,0.1165,0.0163
2022-04,4.94,0.1165,0.0210
2022-05,4.73,0.1265,0.0208
2022-06,5.24,0.1315,0.0280
2022-07,5.19,0.1315,0.0298
2022-08,5.18,0.1365,0.0350
2022-09,5.41,0.1365,0.0405
2022-10,5.18,0.1365,0.0466
2022-11,5.29,0.1365,0.0474
2022-12,5.28,0.1365,0.0473
2023-01,5.10,0.1365,0.0468
2023-02,5.23,0.1365,0.0502
2023-03,5.08,0.1365,0.0464
2023-04,5.00,0.1365,0.0480
2023-05,5.06,0.1365,0.0518
2023-06,4.82,0.1365,0.0540
2023-07,4.73,0.1365,0.0537
2023-08,4.92,0.1315,0.0537
2023-09,5.03,0.1265,0.0546
2023-10,5.04,0.1265,0.0544
2023-11,4.92,0.1215,0.0505
2023-12,4.84,0.1165,0.0479
2024-01,4.95,0.1115,0.0473
2024-02,4.97,0.1115,0.0501
2024-03,5.02,0.1065,0.0503
2024-04,5.19,0.1065,0.0513
2024-05,5.24,0.1040,0.0518
2024-06,5.56,0.1040,0.0509
2024-07,5.65,0.1040,0.0473
2024-08,5.63,0.1040,0.0438
2024-09,5.45,0.1065,0.0398
2024-10,5.78,0.1065,0.0427
2024-11,6.01,0.1115,0.0430
2024-12,6.18,0.1215,0.0416
2025-01,5.83,0.1315,0.0417
2025-02,5.88,0.1315,0.0408
2025-03,5.74,0.1415,0.0403
2025-04,5.66,0.1415,0.0385
2025-05,5.71,0.1465,0.0411
2025-06,5.46,0.1490,0.0396
2025-07,5.55,0.1490,0.0408
2025-08,5.43,0.1490,0.0387
2025-09,5.32,0.1490,0.0368
2025-10,5.38,0.1490,0.0365
2025-11,5.32,0.1490,0.0370
2025-12,5.40,0.1490,0.0360
